DATE,SESSION,TYPE_START,FROM,TO,LOCATION,SESSION_NUM,TYPE,TOPIC,CHAIR,CHAIR_CL,CHAIR_CONFIRMED,SPEAKER,TITLE,ABSTRACT,ABSTRACT_CL,REFERENCES,SPEAKER1,SPEAKER2,AFF1,AFF2,AUTHORS,TOPIC_REASSIGNED
7/31/2023,A,10:50 AM,11:20 AM,11:50 AM,Aliber 102,3,Parallel Session,Statistical and Machine Learning I,Jinggong Zhang,Jinggong Zhang,TRUE,Xing Wang,Multi-Output Extreme Spatial Model for Production Systems," Data-driven spatial models in machine learning have enabled efficient control of production systems. However, most machine learning models are devoted to modeling the mean response, so they are inappropriate to analyze abnormal extreme events that are often the main interests. Since extreme events from tail distribution give rise to prohibitive expenditures in system man- agement, extreme spatial models should be utilized to analyze extreme risks. Recent engineering applications of extreme modeling are limited to simple cases such as univariate modeling, and it is insufficient for complex systems. Moreover, existing extreme spatial models in other domains cannot be directly applied to controllable systems. In this paper, we propose an extreme spatial model that enables the modeling of multi-output response control systems. Robust parameter estimation is proposed for marginal extreme distributions, and efficient composite likelihood estimation is devised to cope with high dimensional problems. The proposed model is applied to the modeling of maximum residual stress in composite aircraft production.","Data-driven spatial models in machine learning have enabled efficient control of production systems. However, most machine learning models are devoted to modeling the mean response, so they are inappropriate to analyze abnormal extreme events that are often the main interests. Since extreme events from tail distribution give rise to prohibitive expenditures in system man- agement, extreme spatial models should be utilized to analyze extreme risks. Recent engineering applications of extreme modeling are limited to simple cases such as univariate modeling, and it is insufficient for complex systems. Moreover, existing extreme spatial models in other domains cannot be directly applied to controllable systems. In this paper, we propose an extreme spatial model that enables the modeling of multi-output response control systems. Robust parameter estimation is proposed for marginal extreme distributions, and efficient composite likelihood estimation is devised to cope with high dimensional problems. The proposed model is applied to the modeling of maximum residual stress in composite aircraft production.", ,Xing Wang, ,Illinois State University,,,Statistical and machine learning III
7/31/2023,A,10:50 AM,11:50 AM,12:20 PM,Aliber 102,3,Parallel Session,Statistical and Machine Learning I,Jinggong Zhang,Jinggong Zhang,TRUE,Jinggong Zhang,Integrated Design for Index Insurance," Weather index insurance (WII) is a promising tool for agricultural risk mitigation, but its popularity is often hindered by challenges of product design, such as basis risk, weather index selection and product complexity issues. In this paper we develop machine learning methodologies to design the statistically optimal WII to address those critical concerns in the literature and practice. The idea from tree-based models is exploited to simultaneously achieve weather variable selection and payout function determination, leading to effective basis risk reduction. The proposed framework is applied to an empirical study where high-dimensional weather variables are adopted to hedge soybean production losses in Iowa. Our numerical results show that the designed insurance policies are potentially viable with much lower government subsidy, and therefore can enhance social welfare.  ","Weather index insurance (WII) is a promising tool for agricultural risk mitigation, but its popularity is often hindered by challenges of product design, such as basis risk, weather index selection and product complexity issues. In this paper we develop machine learning methodologies to design the statistically optimal WII to address those critical concerns in the literature and practice. The idea from tree-based models is exploited to simultaneously achieve weather variable selection and payout function determination, leading to effective basis risk reduction. The proposed framework is applied to an empirical study where high-dimensional weather variables are adopted to hedge soybean production losses in Iowa. Our numerical results show that the designed insurance policies are potentially viable with much lower government subsidy, and therefore can enhance social welfare.", ,Jinggong Zhang, ,Nanyang Technological University,,,Statistical and machine learning I
7/31/2023,A,10:50 AM,10:50 AM,11:20 AM,Aliber 103,4,Parallel Session,Quantitative Finance I,Amin Hassan Zadeh,Amin Hassan Zadeh,TRUE,Zhenzhen Huang,Tail Mean-Variance Portfolio Selection With Estimation Risk," Tail Mean-Variance (TMV) has emerged from the actuarial community as a criterion for risk management and portfolio selection, with a focus on extreme losses. The existing literature on portfolio optimization under the TMV criterion relies on the plug-in approach that substitutes the unknown mean and covariance of asset returns in the optimal portfolio weight with their sample counterparts. The plug-in method inevitably introduces estimation risk and usually has poor out-of-sample performance. We propose an optimal combination of the plug-in and 1/N rules to improve out-of-sample performance. Our proposed combined portfolio consistently outperforms both the plug-in and 1/N portfolios on both simulated and real-world datasets.","Tail Mean-Variance (TMV) has emerged from the actuarial community as a criterion for risk management and portfolio selection, with a focus on extreme losses. The existing literature on portfolio optimization under the TMV criterion relies on the plug-in approach that substitutes the unknown mean and covariance of asset returns in the optimal portfolio weight with their sample counterparts. The plug-in method inevitably introduces estimation risk and usually has poor out-of-sample performance. We propose an optimal combination of the plug-in and 1/N rules to improve out-of-sample performance. Our proposed combined portfolio consistently outperforms both the plug-in and 1/N portfolios on both simulated and real-world datasets.", ,Zhenzhen Huang, ,University of Waterloo,,,Quantitative finance I
7/31/2023,A,10:50 AM,11:20 AM,11:50 AM,Aliber 103,4,Parallel Session,Quantitative Finance I,Amin Hassan Zadeh,Amin Hassan Zadeh,TRUE,Zhiwei Tong,Portfolio Loss Driven by Idiosyncratic Risks," We consider a general portfolio of assets with low default risk and evaluate the tail probability of portfolio loss due to defaults. The latent variables driving defaults are represented by the model of Bassamboo, Juneja, and Zeevi (2008), which combines systematic risk and common shock factors with idiosyncratic risk factors. While systematic risk and common shock have been found to contribute significantly to portfolio loss, the role of idiosyncratic risks is often overlooked, despite their high relevance for under-diversified or unbalanced portfolios. This study considers heavy-tailed idiosyncratic risk factors and explores two distinct scenarios: independent idiosyncratic risk factors and asymptotically dependent idiosyncratic risk factors. The former is the standard assumption in the literature. The latter is motivated by previous studies that have found the inadequacy of relying solely on common factors to capture high default correlation. This consideration is also a reflection of the possibility that idiosyncratic reasons can trigger contagion among companies with interconnected liabilities. Our main results are asymptotic equivalences for the tail of portfolio loss as the individual default probability approaches zero. These results highlight the critical role of dominating idiosyncratic risks as well as their dependence in risk assessment. 

This talk is based on joint work with Shaoying Chen and Yang Yang.","We consider a general portfolio of assets with low default risk and evaluate the tail probability of portfolio loss due to defaults. The latent variables driving defaults are represented by the model of Bassamboo, Juneja, and Zeevi (2008), which combines systematic risk and common shock factors with idiosyncratic risk factors. While systematic risk and common shock have been found to contribute significantly to portfolio loss, the role of idiosyncratic risks is often overlooked, despite their high relevance for under-diversified or unbalanced portfolios. This study considers heavy-tailed idiosyncratic risk factors and explores two distinct scenarios: independent idiosyncratic risk factors and asymptotically dependent idiosyncratic risk factors. The former is the standard assumption in the literature. The latter is motivated by previous studies that have found the inadequacy of relying solely on common factors to capture high default correlation. This consideration is also a reflection of the possibility that idiosyncratic reasons can trigger contagion among companies with interconnected liabilities. Our main results are asymptotic equivalences for the tail of portfolio loss as the individual default probability approaches zero. These results highlight the critical role of dominating idiosyncratic risks as well as their dependence in risk assessment. 

This talk is based on joint work with Shaoying Chen and Yang Yang.", ,Zhiwei Tong, ,The University of Iowa,,,Quantitative finance I
7/31/2023,A,10:50 AM,11:50 AM,12:20 PM,Aliber 103,4,Parallel Session,Quantitative Finance I,Amin Hassan Zadeh,Amin Hassan Zadeh,TRUE,Amin Hassan Zadeh,Pricing Structured Products With GMBD Rider and Mixed Fractional Brownian Motion," In recent years, insurance products related to the stock market have taken a significant share of the insurance market in the world. GMDB can be mentioned among the best-selling and famous products in this regard.
In this research, we present a new product based on the structured products, which transfers a portion of the investment risk to the policyholder, although the insurer still bears the risk of death. Based on this rider, the price of this product is comparable with almost similar products (such as GMDB). The mechanism is such that in case of death anytime in the contract duration (and before the due date), the amount of benefits is paid to the survivors at the moment of death according to the pay off function, and if alive, it is settled with him at the due date according to the contract terms.
The pricing of equity-linked insurance products is traditionally based on Brownian Motion models (BM), however the assumption of independent increments in BM is not realistic and usually the trends of risky assets have long-term dependence (recurrence).  Therefore, in this research we consider the pricing based on the Mixed Fractional Brownian motion (MFBM) process along with the jump in stock returns. It is noteworthy that MFBM avoids arbitrage by choosing the Hurst parameter correctly. 
Next, we analyze the proposed product numerically to see the impact of mortality risk according to different mortality models. Finally, we obtain the proposed product price using the predicted values from the fitted mortality model and compare it with the GMDB price.","In recent years, insurance products related to the stock market have taken a significant share of the insurance market in the world. GMDB can be mentioned among the best-selling and famous products in this regard.
In this research, we present a new product based on the structured products, which transfers a portion of the investment risk to the policyholder, although the insurer still bears the risk of death. Based on this rider, the price of this product is comparable with almost similar products (such as GMDB). The mechanism is such that in case of death anytime in the contract duration (and before the due date), the amount of benefits is paid to the survivors at the moment of death according to the pay off function, and if alive, it is settled with him at the due date according to the contract terms.
The pricing of equity-linked insurance products is traditionally based on Brownian Motion models (BM), however the assumption of independent increments in BM is not realistic and usually the trends of risky assets have long-term dependence (recurrence). Therefore, in this research we consider the pricing based on the Mixed Fractional Brownian motion (MFBM) process along with the jump in stock returns. It is noteworthy that MFBM avoids arbitrage by choosing the Hurst parameter correctly. 
Next, we analyze the proposed product numerically to see the impact of mortality risk according to different mortality models. Finally, we obtain the proposed product price using the predicted values from the fitted mortality model and compare it with the GMDB price.", ,Amin Hassan Zadeh, ,Smeal College of Business,,,Quantitative finance I
7/31/2023,A,10:50 AM,10:50 AM,11:20 AM,Aliber 107,5,Parallel Session,Retirement and Pension Mathematics I,Jean-François Bégin,Jean-François Bégin,TRUE,Dekun Zhai,The Effect of PBGC Premium Structure on Corporate Pension Funding Strategies," The Pension Benefit Guaranty Corporation (PBGC) premium burden has been an increasingly important consideration for funding management of defined benefit (DB) pension plan. Between 2008 and 2020, single-employer plan sponsors have paid over $50 billion in PBGC premiums, among which $30 billion was in the last five years. In this study, we explore the relationship between the PBGC premium structure and corporate pension funding strategies. Our empirical analysis supports the idea that sponsors of defined benefit pension plans are more likely to contribute when their funding ratio is slightly below 100%. Under the variable-rate premium structure, 20.34% of plan-year observations choose to make additional voluntary contributions in order to achieve fully or overfunded status. Also, the most severely underfunded plans are less likely to make voluntary contributions with variable-rate premium cap. Our findings suggest that a risk-based premium structure provides risk management incentives for relatively less underfunded plans to improve their financial health. However for most severely underfunded plans, these incentives are decreased and risk shifting incentives outweigh the financial impact of increased PBGC premiums, given the cap mechanism.","The Pension Benefit Guaranty Corporation (PBGC) premium burden has been an increasingly important consideration for funding management of defined benefit (DB) pension plan. Between 2008 and 2020, single-employer plan sponsors have paid over $50 billion in PBGC premiums, among which $30 billion was in the last five years. In this study, we explore the relationship between the PBGC premium structure and corporate pension funding strategies. Our empirical analysis supports the idea that sponsors of defined benefit pension plans are more likely to contribute when their funding ratio is slightly below 100%. Under the variable-rate premium structure, 20.34% of plan-year observations choose to make additional voluntary contributions in order to achieve fully or overfunded status. Also, the most severely underfunded plans are less likely to make voluntary contributions with variable-rate premium cap. Our findings suggest that a risk-based premium structure provides risk management incentives for relatively less underfunded plans to improve their financial health. However for most severely underfunded plans, these incentives are decreased and risk shifting incentives outweigh the financial impact of increased PBGC premiums, given the cap mechanism.", ,Dekun Zhai, ,Temple University,,,Retirement and pension mathematics I
7/31/2023,A,10:50 AM,11:20 AM,11:50 AM,Aliber 107,5,Parallel Session,Retirement and Pension Mathematics I,Jean-François Bégin,Jean-François Bégin,TRUE,Siegfried Anyomi,Contagion Risk in Multiemployer Pension Plans," This paper quantitatively studies the contagion risk of multiemployer pension plans (MEPPs) and the impact of employer mass withdrawals on the MEPP. We construct a recursion technique via a graph-theoretical network architecture featuring the existence of two types of employer withdrawal liability vectors. The first withdrawal liability vector captures the spread of insolvency across the MEPP network, while the second vector captures the spread of solvency. Our recursion technique estimates the employer withdrawal liability by connecting an employer’s financial position to the value of the MEPP. In practice, the proposed algorithm has a faster rate of convergence and is generally stable.","This paper quantitatively studies the contagion risk of multiemployer pension plans (MEPPs) and the impact of employer mass withdrawals on the MEPP. We construct a recursion technique via a graph-theoretical network architecture featuring the existence of two types of employer withdrawal liability vectors. The first withdrawal liability vector captures the spread of insolvency across the MEPP network, while the second vector captures the spread of solvency. Our recursion technique estimates the employer withdrawal liability by connecting an employer’s financial position to the value of the MEPP. In practice, the proposed algorithm has a faster rate of convergence and is generally stable.", ,Siegfried Anyomi, ,University of Iowa,,,Retirement and pension mathematics I
7/31/2023,A,10:50 AM,11:50 AM,12:20 PM,Aliber 107,5,Parallel Session,Retirement and Pension Mathematics I,Jean-François Bégin,Jean-François Bégin,TRUE,Jean-François Bégin,On the Impacts of Pension Plan Consolidation: Can Everyone Win?," This study investigates the benefits and drawbacks of pension plan consolidation by quantifying the impact of mergers on different stakeholders in a unique Canadian implementation of defined benefit plans. Using a comprehensive framework that combines a realistic economic scenario generator, a stochastic mortality model that captures differences among subpopulations, a cost model with economies of scale, and an asset allocation methodology based on utility maximization, three groups of measures are constructed: plan-related risk measures assessing profits from an economic capital perspective, consumption-based metrics to understand the impact on members, and contribution risk measures capturing the risk from the employer's viewpoint. We apply the framework to a hypothetical and empirically relevant merger and find that the merger is favourable under most circumstances, even with heterogenous mortality expectations, different plan maturity levels, and modest differences in initial funded ratios. 

This is joint work with Barbara Sanders and Wenyuan Zhou.","This study investigates the benefits and drawbacks of pension plan consolidation by quantifying the impact of mergers on different stakeholders in a unique Canadian implementation of defined benefit plans. Using a comprehensive framework that combines a realistic economic scenario generator, a stochastic mortality model that captures differences among subpopulations, a cost model with economies of scale, and an asset allocation methodology based on utility maximization, three groups of measures are constructed: plan-related risk measures assessing profits from an economic capital perspective, consumption-based metrics to understand the impact on members, and contribution risk measures capturing the risk from the employer's viewpoint. We apply the framework to a hypothetical and empirically relevant merger and find that the merger is favourable under most circumstances, even with heterogenous mortality expectations, different plan maturity levels, and modest differences in initial funded ratios. 

This is joint work with Barbara Sanders and Wenyuan Zhou.", ,Jean-François Bégin, ,Simon Fraser University,,,Retirement and pension mathematics I
7/31/2023,B,12:20 PM,12:20 PM,1:30 PM,Hubbell Dining Hall,NA,Lunch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/2023,B,1:30 PM,1:30 PM,2:30 PM,Aliber 101,1,Parallel Session,(Invited Session) Professionalism in the Era of Artificial Intelligence,NA,NA,NA,Dale Hall,Professionalism in the Era of Artificial Intelligence,NA,NA,,Dale Hall ,,NA,,,Professionalism in the Era of Artificial Intelligence
7/31/2023,B,1:30 PM,1:30 PM,2:00 PM,Aliber 102,2,Parallel Session,Loss Reserving and Ratemaking,Bin Zou,Bin Zou,TRUE,Wenyi Lu,Quantification of Variability of Chain Ladder Reserve Estimates: Mack’s Method With Recursive Structure in Excel.,"This presentation can serve as a hands-on guideline for practicing P&C actuaries to build their own in-house models to quantify the range estimates of outstanding loss reserve of property & casualty insurance business in everyday work under the requirement of European Solvency II or for business plan purpose in North America. This presentation will first show explicitly how to use basic Excel functions to carry out quantifying variability of property/casualty insurance loss reserve estimates according to Thomas Mack’s CAS prize-winning paper (1993) “Measuring the Variability of Chain Ladder Reserve Estimates” formula by formula. This presentation will next show how to use basic Excel functions to fulfill the same results as Mack’s formulas in his 1993 paper via an equivalent recursive route. Mack derived the recursive formulas in his paper “The Standard Error of Chain-Ladder Reserve Estimates: Recursive Calculation and Inclusion of A Tail Factor” (1999). This presentation shows explicitly in Excel the structure of recursion in the form of matrix. All the intermediate steps are in a matrix for recursive calculations, while 1993 paper’s methods use vectors as intermediate steps. With a matrix of intermediate years’ results, this presentation shows how to include a tail factor by expanding the matrix one more row and one more column in order to extend projection of ultimate loss one more development lag. This is a true improvement for 1993’s formulas regarding flexibility and versatility. It’s worth noting that Mack’s methods in his 1993 paper can’t handle a tail factor for ultimate development because the necessary information about “The Exposure Prior to The Current Calendar Year by Development Age” is not available for the last development lag even for the oldest accident year in the data format. On the other hand, the recursive calculation method can deal with an extra tail factor as it uses the information of “The Exposure from The Current Calendar Year onward by Development Age”, which is always available. As a result, recursive formulas are more general than Mack’s formulas in 1993 paper. Overall, this presentation confirms that Mack’s model arguably is a best start point for estimating variability of loss reserves.","This presentation can serve as a hands-on guideline for practicing P&C actuaries to build their own in-house models to quantify the range estimates of outstanding loss reserve of property & casualty insurance business in everyday work under the requirement of European Solvency II or for business plan purpose in North America. This presentation will first show explicitly how to use basic Excel functions to carry out quantifying variability of property/casualty insurance loss reserve estimates according to Thomas Mack’s CAS prize-winning paper (1993) “Measuring the Variability of Chain Ladder Reserve Estimates” formula by formula. This presentation will next show how to use basic Excel functions to fulfill the same results as Mack’s formulas in his 1993 paper via an equivalent recursive route. Mack derived the recursive formulas in his paper “The Standard Error of Chain-Ladder Reserve Estimates: Recursive Calculation and Inclusion of A Tail Factor” (1999). This presentation shows explicitly in Excel the structure of recursion in the form of matrix. All the intermediate steps are in a matrix for recursive calculations, while 1993 paper’s methods use vectors as intermediate steps. With a matrix of intermediate years’ results, this presentation shows how to include a tail factor by expanding the matrix one more row and one more column in order to extend projection of ultimate loss one more development lag. This is a true improvement for 1993’s formulas regarding flexibility and versatility. It’s worth noting that Mack’s methods in his 1993 paper can’t handle a tail factor for ultimate development because the necessary information about “The Exposure Prior to The Current Calendar Year by Development Age” is not available for the last development lag even for the oldest accident year in the data format. On the other hand, the recursive calculation method can deal with an extra tail factor as it uses the information of “The Exposure from The Current Calendar Year onward by Development Age”, which is always available. As a result, recursive formulas are more general than Mack’s formulas in 1993 paper. Overall, this presentation confirms that Mack’s model arguably is a best start point for estimating variability of loss reserves.",,Wenyi Lu,,The University of Texas at Dallas,,,Loss reserving and ratemaking
